,Q,A,label
0,12시 땡!,하루가 또 가네요.,0
1,1지망 학교 떨어졌어,위로해 드립니다.,0
2,3박4일 놀러가고 싶다,여행은 언제나 좋죠.,0
3,3박4일 정도 놀러가고 싶다,여행은 언제나 좋죠.,0
4,PPL 심하네,눈살이 찌푸려지죠.,0
5,SD카드 망가졌어,다시 새로 사는 게 마음 편해요.,0
6,SD카드 안돼,다시 새로 사는 게 마음 편해요.,0
7,SNS 맞팔 왜 안하지ㅠㅠ,잘 모르고 있을 수도 있어요.,0
8,SNS 시간낭비인 거 아는데 매일 하는 중,시간을 정하고 해보세요.,0
9,SNS 시간낭비인데 자꾸 보게됨,시간을 정하고 해보세요.,0
10,SNS보면 나만 빼고 다 행복해보여,자랑하는 자리니까요.,0
11,가끔 궁금해,그 사람도 그럴 거예요.,0
12,가끔 뭐하는지 궁금해,그 사람도 그럴 거예요.,0
13,가끔은 혼자인게 좋다,혼자를 즐기세요.,0
14,가난한 자의 설움,돈은 다시 들어올 거예요.,0
15,가만 있어도 땀난다,땀을 식혀주세요.,0
16,가상화폐 쫄딱 망함,어서 잊고 새출발 하세요.,0
17,가스불 켜고 나갔어,빨리 집에 돌아가서 끄고 나오세요.,0
18,가스불 켜놓고 나온거 같아,빨리 집에 돌아가서 끄고 나오세요.,0
19,가스비 너무 많이 나왔다.,다음 달에는 더 절약해봐요.,0
20,가스비 비싼데 감기 걸리겠어,따뜻하게 사세요!,0
21,가스비 장난 아님,다음 달에는 더 절약해봐요.,0
22,가장 확실한 건 뭘까?,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.,0
23,가족 여행 가기로 했어,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
24,가족 여행 고고,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
25,가족 여행 어디로 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
26,가족 있어?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0
27,가족관계 알려 줘,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0
28,가족끼리 여행간다.,더 가까워질 기회가 되겠네요.,0
29,가족들 보고 싶어,저도요.,0
30,가족들이랑 서먹해,다들 바빠서 이야기할 시간이 부족했나봐요.,0
31,가족들이랑 서먹해졌어,다들 바빠서 이야기할 시간이 부족했나봐요.,0
32,가족들이랑 어디 가지?,온 가족이 모두 마음에 드는 곳으로 가보세요.,0
33,가족들이랑 여행 갈거야,좋은 생각이에요.,0
34,가족여행 가야지,더 가까워질 기회가 되겠네요.,0
35,가족이 누구야?,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",0
36,가족이랑 여행 가려고,좋은 생각이에요.,0
37,가족한테 스트레스 풀었어,정말 후회할 습관이에요.,0
38,가출할까?,무모한 결정을 내리지 마세요.,0
39,가출해도 갈 데가 없어,선생님이나 기관에 연락해보세요.,0
40,간만에 떨리니까 좋더라,떨리는 감정은 그 자체로 소중해요.,0
41,간만에 쇼핑 중,득템했길 바라요.,0
42,간만에 휴식 중,휴식도 필요하죠.,0
43,간식 뭐 먹을까,단짠으로 두 개 사는게 진리죠.,0
44,간식 추천,단짠으로 두 개 사는게 진리죠.,0
45,간장치킨 시켜야지,맛있게 드세요.,0
46,간접흡연 싫어,저도 싫어요.,0
47,갈까 말까 고민 돼,가세요.,0
48,갈까 말까?,가세요.,0
49,감 말랭이 먹고 싶다.,맛있게 드세요.,0
50,감 말랭이 먹어야지,맛있게 드세요.,0
